artist,URL Artsy,URL Wiki,Nationality,Genre,Art Movement,Momentum Score,Trends 2017,Trends 2018,Trends 2019,Trends 2020,Trends 2021,Trends 2022,Articles,Followers,Yearly Lots Sold,birth_year,death_year,sell_through_rate
josef-albers,https://www.artsy.net/artist/josef-albers/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/josef-albers,German,abstract,"Constructivism, Concrete Art (Concretism), Abstract Art",,54.10526316,58.19230769,56.5,49.34615385,48.44230769,45.33333333,100,7920.284153,20,1800s,1900s,92.5
richard-anuszkiewicz,https://www.artsy.net/artist/richard-anuszkiewicz/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/richard-anuszkiewicz,American,abstract,Op Art,,16.86842105,14.09615385,15.84615385,15.28846154,10.51923077,11.33333333,32,2500,8,1900s,Other,86.6
milton-avery,https://www.artsy.net/artist/milton-avery/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/milton-avery,American,abstract,"Post-Impressionism, Expressionism",,21.23684211,20.59615385,18.76923077,14.90384615,15.55769231,22.6,89,3100,19,1800s,1900s,73.7
jean-michel-basquiat,https://www.artsy.net/artist/jean-michel-basquiat/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/jean-michel-basquiat,American,portrait,"Neo-Expressionism, Street art",,13.26315789,10.55769231,8.653846154,9.692307692,10.63461538,12.13333333,98,205000,18,1900s,1900s,84.6
thomas-hart-benton,https://www.artsy.net/artist/thomas-hart-benton/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/thomas-hart-benton,American,landscape,"Regionalism, Synchromism",,42.05263158,38.48076923,39.78846154,31.59615385,27.69230769,21.46666667,94,1400,2,1800s,1900s,72.7
albert-bierstadt,https://www.artsy.net/artist/albert-bierstadt/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/albert-bierstadt,American,landscape,Romanticism,,60.63157895,59.34615385,52.26923077,42.32692308,35.19230769,40.66666667,98,7920.284153,10,1800s,1900s,77.5
ralph-albert-blakelock,https://www.artsy.net/artist/ralph-albert-blakelock/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/ralph-albert-blakelock,American,landscape,"Romanticism, Tonalism",,3.131578947,6.384615385,3.634615385,7.884615385,4.307692308,6.4,11,307,7.650793651,1800s,1900s,80.46031746
ross-bleckner,https://www.artsy.net/artist/ross-bleckner/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/ross-bleckner,Other,abstract,Rococo,,15.94736842,15.63461538,10.11538462,8.423076923,7.961538462,8.6,86,3300,9,Other,Other,93.3
william-bradford,https://www.artsy.net/artist/william-bradford/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/william-bradford,American,marina,Romanticism,,40.55263158,32.05769231,30.96153846,27.69230769,23.26923077,15.8,89,110,7.650793651,1800s,1800s,80.46031746
william-merritt-chase,https://www.artsy.net/artist/william-merritt-chase/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/william-merritt-chase,American,animal painting,Impressionism,,12.94736842,13.09615385,10.96153846,10.71153846,11.05769231,7.866666667,95,517,2,1800s,1900s,57.1
samuel-colman,https://www.artsy.net/artist/samuel-colman/auction-results?categories%5B0%5D=Painting,https://www.wikiart.org/en/samuel-colman,Other,portrait,Realism,,4.789473684,6.865384615,10.76923077,8.096153846,6.673076923,5.6,25,87,1,Other,Other,100
